#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0 0.064 -4.23885e-05 2.56848e-05 0
0 0.0655 -4.2399e-05 2.55952e-05 0
0 0.067 -4.23902e-05 2.55129e-05 0
0 0.0685 -4.23681e-05 2.54229e-05 0
0 0.07 -4.23459e-05 2.53348e-05 0
0 0.0715 -4.23267e-05 2.52478e-05 0
0 0.073 -4.22631e-05 2.51842e-05 0
0 0.0745 -4.22659e-05 2.51169e-05 0
0 0.076 -4.22362e-05 2.50647e-05 0
0 0.0775 -4.22406e-05 2.50169e-05 0
0 0.079 -4.22736e-05 2.49737e-05 0
0 0.0805 -4.22938e-05 2.49328e-05 0
0 0.082 -4.23033e-05 2.48972e-05 0
0 0.0835 -4.23117e-05 2.48692e-05 0
0 0.085 -4.23242e-05 2.48542e-05 0
0 0.0865 -4.23395e-05 2.48494e-05 0
0 0.088 -4.23743e-05 2.48556e-05 0
0 0.0895 -4.24038e-05 2.48763e-05 0
0 0.091 -4.24211e-05 2.49068e-05 0
0 0.0925 -4.24333e-05 2.49537e-05 0
0 0.094 -4.24315e-05 2.50196e-05 0
0 0.0955 -4.24588e-05 2.51343e-05 0
0 0.097 -4.24849e-05 2.52582e-05 0
0 0.0985 -4.24741e-05 2.54119e-05 0
0.115637 0.0986984 -4.10895e-05 1.1115e-05 0
0.149905 0.0986283 -3.94506e-05 7.46218e-06 0
0.132072 0.00130647 -2.16655e-05 9.09932e-06 0
0.103822 0.0988008 -3.96496e-05 1.26966e-05 0
0.138137 0.0987657 -4.13376e-05 8.46397e-06 0
0.143967 0.00123646 -2.14989e-05 7.88856e-06 0
0.109716 0.00121269 -2.14994e-05 1.17715e-05 0
0.198754 0.0500886 -3.46019e-05 5.37755e-06 0
0.0977239 0.00135687 -2.14557e-05 1.35248e-05 0
0.155973 0.00125716 -2.16372e-05 6.95192e-06 0
0.125973 0.0984181 -4.18825e-05 9.88396e-06 0
0.121646 0.00120695 -2.16715e-05 1.03037e-05 0
0.0933887 0.0986538 -3.78077e-05 1.4317e-05 0
0.160648 0.0987083 -3.74027e-05 6.66116e-06 0
0.0873062 0.00118605 -2.12483e-05 1.51605e-05 0
0.198535 0.0396045 -3.38736e-05 5.37526e-06 0
0.198504 0.0604324 -3.4962e-05 5.37798e-06 0
0.0828011 0.098752 -3.66074e-05 1.59121e-05 0
0.166461 0.00128816 -2.16252e-05 6.30139e-06 0
0.0768657 0.00129258 -2.11147e-05 1.66802e-05 0
0.0738519 0.098726 -3.56182e-05 1.74139e-05 0
0.198542 0.0695512 -3.47563e-05 5.37736e-06 0
0.198664 0.0305911 -3.18293e-05 5.37286e-06 0
0.169529 0.0986721 -3.63133e-05 6.13711e-06 0
0.0678771 0.00127647 -2.09549e-05 1.80191e-05 0
0.065042 0.0987585 -3.49201e-05 1.87162e-05 0
0.0589265 0.0013231 -2.05885e-05 1.93349e-05 0
0.0559789 0.0986492 -3.50638e-05 2.00457e-05 0
