#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.0507463 0 -2e-05 2.6263e-05 0
0.0492537 0 -2e-05 2.62687e-05 0
0.0477612 0 -2e-05 2.62738e-05 0
0.0462687 0 -2e-05 2.62784e-05 0
0.0447761 0 -2e-05 2.62826e-05 0
0.0432836 0 -2e-05 2.62867e-05 0
0.041791 0 -2e-05 2.62906e-05 0
0.0402985 0 -2e-05 2.62948e-05 0
0.038806 0 -2e-05 2.6299e-05 0
0.0373134 0 -2e-05 2.63031e-05 0
0.0358209 0 -2e-05 2.63069e-05 0
0.0343284 0 -2e-05 2.63103e-05 0
0.0328358 0 -2e-05 2.63139e-05 0
0.0313433 0 -2e-05 2.6317e-05 0
0.0298507 0 -2e-05 2.63196e-05 0
0.0283582 0 -2e-05 2.63225e-05 0
0.0268657 0 -2e-05 2.63257e-05 0
0.0253731 0 -2e-05 2.63289e-05 0
0.0238806 0 -2e-05 2.63319e-05 0
0.0223881 0 -2e-05 2.63345e-05 0
0.0208955 0 -2e-05 2.63369e-05 0
0.019403 0 -2e-05 2.63391e-05 0
0.0179104 0 -2e-05 2.63411e-05 0
0.0164179 0 -2e-05 2.6343e-05 0
0.0149254 0 -2e-05 2.63446e-05 0
0.0134328 0 -2e-05 2.63462e-05 0
0.0119403 0 -2e-05 2.63475e-05 0
0.0104478 0 -2e-05 2.63485e-05 0
0.00895522 0 -2e-05 2.63494e-05 0
0.00746269 0 -2e-05 2.635e-05 0
0.00597015 0 -2e-05 2.63506e-05 0
0.00447761 0 -2e-05 2.6351e-05 0
0.00298507 0 -2e-05 2.63514e-05 0
0.00149254 0 -2e-05 2.63516e-05 0
0 0.0015 -2e-05 2.6352e-05 0
0 0.003 -1.94145e-05 2.63527e-05 0.0454545
0 0.0045 -1.94167e-05 2.63537e-05 0
0 0.006 -1.92226e-05 2.6355e-05 0
0 0.0075 -1.91416e-05 2.63567e-05 0
0 0.009 -1.90831e-05 2.63585e-05 0
0 0.0105 -1.90194e-05 2.63606e-05 0
0 0.012 -1.89818e-05 2.63631e-05 0
0 0.0135 -1.9008e-05 2.63662e-05 0
0 0.015 -1.90305e-05 2.63695e-05 0
0 0.0165 -1.89519e-05 2.63734e-05 0
0 0.018 -1.87068e-05 2.6377e-05 0
0 0.0195 -1.85183e-05 2.63812e-05 0
0 0.021 -1.83788e-05 2.63853e-05 0
0 0.0225 -1.83417e-05 2.63894e-05 0
0 0.024 -1.8361e-05 2.63943e-05 0
0 0.0255 -1.82669e-05 2.63994e-05 0
0 0.027 -1.82057e-05 2.64041e-05 0
0 0.0285 -1.79913e-05 2.64089e-05 0
0 0.03 -1.77237e-05 2.64147e-05 0
0 0.0315 -1.74873e-05 2.64212e-05 0
0 0.033 -1.72259e-05 2.64281e-05 0
0 0.0345 -1.69667e-05 2.6434e-05 0
0 0.036 -1.67684e-05 2.64397e-05 0
0 0.0375 -1.66253e-05 2.64458e-05 0
0 0.039 -1.65459e-05 2.64522e-05 0
0 0.0405 -1.65383e-05 2.64593e-05 0
0 0.042 -1.66053e-05 2.64669e-05 0.0909091
0 0.0435 -1.66522e-05 2.64734e-05 0.142857
0 0.045 -1.62906e-05 2.64793e-05 0.176471
0.00147059 0.0466029 4.05642e-06 2.65e-05 0.777778
0.00294118 0.0467059 -4.60548e-06 2.65e-05 0.714286
0.00441176 0.0468088 -1.48205e-05 2.65e-05 0.181818
0.00588235 0.0469118 -1.61177e-05 2.65e-05 0
0.00735294 0.0470147 -1.6274e-05 2.65e-05 0
0.00882353 0.0471176 -1.64163e-05 2.65e-05 0
0.0102941 0.0472206 -1.67512e-05 2.65e-05 0
0.0117647 0.0473235 -1.70712e-05 2.65e-05 0
0.0132353 0.0474265 -1.71545e-05 2.65e-05 0
0.0147059 0.0475294 -1.69194e-05 2.65e-05 0.0434783
0.0161765 0.0476324 -1.67243e-05 2.65e-05 0.0833333
0.0176471 0.0477353 -1.68321e-05 2.65e-05 0.12
0.0191176 0.0478382 -1.72065e-05 2.65e-05 0.12
0.0205882 0.0479412 -1.73935e-05 2.65e-05 0.153846
0.0220588 0.0480441 -1.76198e-05 2.65e-05 0.153846
0.0235294 0.0481471 -1.78231e-05 2.65e-05 0.185185
0.025 0.04825 -1.78277e-05 2.65e-05 0.241379
0.0264706 0.0483529 -1.75276e-05 2.65e-05 0.241379
0.0279412 0.0484559 -1.75211e-05 2.65e-05 0.290323
0.0294118 0.0485588 -1.79604e-05 2.65e-05 0.290323
0.0308824 0.0486618 -1.77359e-05 2.65e-05 0.3125
0.0323529 0.0487647 -1.76771e-05 2.65e-05 0.371429
0.0338235 0.0488676 -1.84259e-05 2.65e-05 0.388889
0.0352941 0.0489706 -1.79399e-05 2.65e-05 0.388889
0.0367647 0.0490735 -1.76265e-05 2.65e-05 0.447368
0.0382353 0.0491765 -1.87706e-05 2.65e-05 0.447368
0.0397059 0.0492794 -1.77983e-05 2.65e-05 0.461538
0.0411765 0.0493824 -1.75483e-05 2.65e-05 0.564103
0.0426471 0.0494853 -1.78298e-05 2.65e-05 0.65
0.0441176 0.0495882 -1.94365e-05 2.65e-05 0.714286
0.0455882 0.0496912 1.12102e-05 2.65e-05 0.97619
0.0470588 0.0497941 1.93325e-05 2.65e-05 0.738095
0.0485294 0.0498971 1.89093e-05 2.65e-05 0.571429
0.0485294 0.0501029 1.92481e-05 2.65e-05 0.545455
0.0470588 0.0502059 1.87221e-05 2.65e-05 0.533333
0.0455882 0.0503088 1.84649e-05 2.65e-05 0.555556
0.0441176 0.0504118 1.89296e-05 2.65e-05 0.522727
0.0426471 0.0505147 1.95821e-05 2.65e-05 0.463415
0.0411765 0.0506176 1.87401e-05 2.65e-05 0.45
0.0397059 0.0507206 1.93403e-05 2.65e-05 0.487179
0.0382353 0.0508235 1.97695e-05 2.65e-05 0.461538
0.0367647 0.0509265 1.95175e-05 2.65e-05 0.390244
0.0352941 0.0510294 1.87977e-05 2.65e-05 0.342105
0.0338235 0.0511324 1.91316e-05 2.65e-05 0.315789
0.0323529 0.0512353 1.91958e-05 2.65e-05 0.285714
0.0308824 0.0513382 1.92316e-05 2.65e-05 0.264706
0.0294118 0.0514412 1.90575e-05 2.65e-05 0.264706
0.0279412 0.0515441 1.92596e-05 2.65e-05 0.264706
0.0264706 0.0516471 1.8994e-05 2.65e-05 0.258065
