#Header
x(m) y(m) Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.00283688 0.0528571 0 2.60534e-05 0
0.00283688 0.0514286 0 2.60533e-05 0
0.00283688 0.05 0 2.60531e-05 0
0.00283688 0.0485714 0 2.60529e-05 0
0.00283688 0.0471429 0 2.60527e-05 0
0.00283688 0.0457143 0 2.60524e-05 0
0.00283688 0.0442857 0 2.6052e-05 0
0.00283688 0.0428571 0 2.60516e-05 0
0.00283688 0.0414286 0 2.60512e-05 0
0.00283688 0.04 0 2.60507e-05 0
0.00283688 0.0385714 0 2.60501e-05 0
0.00283688 0.0371429 0 2.60494e-05 0
0.00283688 0.0357143 0 2.60486e-05 0
0.00283688 0.0342857 0 2.60477e-05 0
0.00283688 0.0328571 0 2.60467e-05 0
0.00283688 0.0314286 0 2.60456e-05 0
0.00283688 0.03 0 2.60443e-05 0
0.00283688 0.0285714 0 2.60427e-05 0
0.00283688 0.0271429 0 2.60409e-05 0
0.00283688 0.0257143 0 2.60388e-05 0
0.00283688 0.0242857 0 2.60363e-05 0
0.00283688 0.0228571 0 2.60333e-05 0
0.00283688 0.0214286 0 2.60297e-05 0
0.00283688 0.02 0 2.60252e-05 0
0.00283688 0.0185714 0 2.60197e-05 0
0.00283688 0.0171429 0 2.60127e-05 0
0.00283688 0.0157143 0 2.60036e-05 0
0.00283688 0.0142857 0 2.59917e-05 0
0.00283688 0.0128571 0 2.59755e-05 0
0.00283688 0.0114286 0 2.59531e-05 0
0.00283688 0.01 0 2.59214e-05 0
0.00283688 0.00857143 0 2.58729e-05 0
0.00283688 0.00714286 0 2.5808e-05 0
0.00283688 0.00571429 0 2.57323e-05 0
0.00283688 0.00428571 0 2.56602e-05 0
0.00283688 0.00285714 0 2.56038e-05 0
0.00283688 0.00142857 0 2.55682e-05 0
0.00425532 0.0985714 0 2.57346e-05 0
0.00425532 0.0971429 0 2.57593e-05 0
0.00425532 0.0957143 0 2.57886e-05 0
0.00425532 0.0942857 0 2.5818e-05 0
0.00425532 0.0928571 0 2.58403e-05 0
0.00425532 0.0914286 0 2.58576e-05 0
0.00425532 0.09 0 2.58707e-05 0
0.00425532 0.0885714 0 2.58805e-05 0
0.00425532 0.0871429 0 2.58879e-05 0
0.00425532 0.0857143 0 2.58936e-05 0
0.00425532 0.0842857 0 2.5898e-05 0
0.00425532 0.0828571 0 2.59015e-05 0
0.00425532 0.0814286 0 2.59042e-05 0
0.00425532 0.08 0 2.59065e-05 0
0.00425532 0.0785714 0 2.59083e-05 0
0.00425532 0.0771429 0 2.59098e-05 0
0.00425532 0.0757143 0 2.59111e-05 0
0.00425532 0.0742857 0 2.59121e-05 0
0.00425532 0.0728571 0 2.5913e-05 0
0.00425532 0.0714286 0 2.59137e-05 0
0.00425532 0.07 0 2.59143e-05 0
0.00425532 0.0685714 0 2.59148e-05 0
0.00425532 0.0671429 0 2.59152e-05 0
0.00425532 0.0657143 0 2.59156e-05 0
0.00425532 0.0642857 0 2.59158e-05 0
0.00425532 0.0628571 0 2.59161e-05 0
0.00425532 0.0614286 0 2.59162e-05 0
0.00425532 0.06 0 2.59163e-05 0
0.00425532 0.0585714 0 2.59164e-05 0
0.00425532 0.0571429 0 2.59164e-05 0
0.00425532 0.0557143 0 2.59163e-05 0
0.00425532 0.0542857 0 2.59162e-05 0
0.00425532 0.0528571 0 2.59161e-05 0
0.00425532 0.0514286 0 2.59159e-05 0
0.00425532 0.05 0 2.59157e-05 0
0.00425532 0.0485714 0 2.59154e-05 0
0.00425532 0.0471429 0 2.59151e-05 0
0.00425532 0.0457143 0 2.59147e-05 0
0.00425532 0.0442857 0 2.59142e-05 0
0.00425532 0.0428571 0 2.59137e-05 0
0.00425532 0.0414286 0 2.59132e-05 0
0.00425532 0.04 0 2.59125e-05 0
0.00425532 0.0385714 0 2.59117e-05 0
0.00425532 0.0371429 0 2.59109e-05 0
0.00425532 0.0357143 0 2.59099e-05 0
0.00425532 0.0342857 0 2.59088e-05 0
0.00425532 0.0328571 0 2.59075e-05 0
0.00425532 0.0314286 0 2.5906e-05 0
0.00425532 0.03 0 2.59043e-05 0
0.00425532 0.0285714 0 2.59024e-05 0
0.00425532 0.0271429 0 2.59001e-05 0
0.00425532 0.0257143 0 2.58974e-05 0
0.00425532 0.0242857 0 2.58943e-05 0
0.00425532 0.0228571 0 2.58906e-05 0
0.00425532 0.0214286 0 2.58861e-05 0
0.00425532 0.02 0 2.58806e-05 0
0.00425532 0.0185714 0 2.5874e-05 0
0.00425532 0.0171429 0 2.58657e-05 0
0.00425532 0.0157143 0 2.58551e-05 0
0.00425532 0.0142857 0 2.58417e-05 0
0.00425532 0.0128571 0 2.58241e-05 0
0.00425532 0.0114286 0 2.5801e-05 0
0.00425532 0.01 0 2.57706e-05 0
0.00425532 0.00857143 0 2.57314e-05 0
0.00425532 0.00714286 0 2.568e-05 0
0.00425532 0.00571429 0 2.56231e-05 0
0.00425532 0.00428571 0 2.55685e-05 0
0.00425532 0.00285714 0 2.5528e-05 0
0.00425532 0.00142857 0 2.55005e-05 0
0.00567376 0.0985714 0 2.5622e-05 0
0.00567376 0.0971429 0 2.56366e-05 0
0.00567376 0.0957143 0 2.5655e-05 0
0.00567376 0.0942857 0 2.56748e-05 0
0.00567376 0.0928571 0 2.56927e-05 0
0.00567376 0.0914286 0 2.57078e-05 0
0.00567376 0.09 0 2.57199e-05 0
0.00567376 0.0885714 0 2.57295e-05 0
0.00567376 0.0871429 0 2.5737e-05 0
0.00567376 0.0857143 0 2.5743e-05 0
