#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0 0.0657143 5.504e-06 0 0
0 0.0671429 6.00019e-06 0 0
0 0.0685714 6.48987e-06 0 0
0 0.07 6.97299e-06 0 0
0 0.0714286 7.45038e-06 0 0
0 0.0728571 7.92342e-06 0 0
0 0.0742857 8.39358e-06 0 0
0 0.0757143 8.86245e-06 0 0
0 0.0771429 9.33069e-06 0 0
0 0.0785714 9.79687e-06 0 0
0 0.08 1.0258e-05 0 0
0 0.0814286 1.07106e-05 0 0
0 0.0828571 1.11521e-05 0 0
0 0.0842857 1.15791e-05 0 0
0 0.0857143 1.19885e-05 0 0
0 0.0871429 1.2379e-05 0 0
0 0.0885714 1.27459e-05 0 0
0 0.09 1.30884e-05 0 0
0 0.0914286 1.33996e-05 0 0
0 0.0928571 1.36678e-05 0 0
0 0.0942857 1.38949e-05 0 0
0 0.0957143 1.40748e-05 0 0
0 0.0971429 1.41981e-05 0 0
0 0.0985714 1.42868e-05 0 0
0.00141844 0.0985714 1.46925e-05 0 0
0.00141844 0.0971429 1.45764e-05 0 0
0.00141844 0.0957143 1.44272e-05 0 0
0.00141844 0.0942857 1.42027e-05 0 0
0.00141844 0.0928571 1.39331e-05 0 0
0.00141844 0.0914286 1.3623e-05 0 0
0.00141844 0.09 1.32809e-05 0 0
0.00141844 0.0885714 1.29115e-05 0 0
0.00141844 0.0871429 1.25216e-05 0 0
0.00141844 0.0857143 1.21143e-05 0 0
0.00141844 0.0842857 1.1691e-05 0 0
0.00141844 0.0828571 1.12531e-05 0 0
0.00141844 0.0814286 1.08031e-05 0 0
0.00141844 0.08 1.03452e-05 0 0
0.00141844 0.0785714 9.88113e-06 0 0
0.00141844 0.0771429 9.41099e-06 0 0
0.00141844 0.0757143 8.93463e-06 0 0
0.00141844 0.0742857 8.45252e-06 0 0
0.00141844 0.0728571 7.96602e-06 0 0
0.00141844 0.0714286 7.47687e-06 0 0
0.00141844 0.07 6.98564e-06 0 0
0.00141844 0.0685714 6.49157e-06 0 0
0.00141844 0.0671429 5.99429e-06 0 0
0.00141844 0.0657143 5.4937e-06 0 0
0.00141844 0.0642857 4.98912e-06 0 0
0.00141844 0.0628571 4.47961e-06 0 0
0.00141844 0.0614286 3.96493e-06 0 0
0.00141844 0.06 3.44565e-06 0 0
0.00141844 0.0585714 2.92281e-06 0 0
0.00141844 0.0571429 2.39708e-06 0 0
0.00141844 0.0557143 1.86799e-06 0 0
0.00141844 0.0542857 1.33416e-06 0 0
0.00141844 0.0528571 7.94538e-07 0 0
0.00141844 0.0514286 2.49708e-07 0 0
0.00141844 0.05 -2.97872e-07 0 0
0.00141844 0.0485714 -8.44897e-07 0 0
0.00141844 0.0471429 -1.38878e-06 0 0
0.00141844 0.0457143 -1.92871e-06 0 0
0.00141844 0.0442857 -2.46553e-06 0 0
0.00141844 0.0428571 -3.0007e-06 0 0
0.00141844 0.0414286 -3.53511e-06 0 0
0.00141844 0.04 -4.06834e-06 0 0
0.00141844 0.0385714 -4.59903e-06 0 0
0.00141844 0.0371429 -5.12575e-06 0 0
0.00141844 0.0357143 -5.64763e-06 0 0
0.00141844 0.0342857 -6.16462e-06 0 0
0.00141844 0.0328571 -6.67736e-06 0 0
0.00141844 0.0314286 -7.1867e-06 0 0
0.00141844 0.03 -7.69329e-06 0 0
0.00141844 0.0285714 -8.1978e-06 0 0
